X        Y        Z
-0.241	-0.016	0.820	
-0.114	-0.022	0.980	
-0.021	-0.091	1.067	
0.030	-0.118	1.207	
-0.060	-0.025	1.007	
-0.198	-0.069	0.910	
-0.073	-0.038	0.829	
-0.078	-0.008	1.052	
-0.014	-0.084	1.033	
0.014	-0.055	1.104	
-0.109	0.007	0.785	
-0.004	-0.023	1.373	
-0.090	-0.045	0.853	
0.024	0.013	1.061	
0.004	0.031	1.039	
-0.088	-0.031	0.729	
0.044	0.020	1.115	
-0.004	0.063	0.917	
-0.176	0.014	0.783	
0.036	-0.023	1.023	
-0.058	0.081	0.826	
-0.179	0.019	0.927	
-0.021	-0.021	0.960	
0.159	-0.047	1.269	
-0.044	0.063	0.902	
-0.130	0.053	0.861	
0.012	0.031	1.039	
0.000	-0.049	1.168	
-0.114	0.132	0.907	
-0.081	0.027	0.947	
0.077	-0.056	1.080	
0.096	0.009	1.028	
-0.058	0.044	0.847	
0.006	-0.119	1.065	
0.332	-0.067	1.073	
0.193	0.092	0.995	
0.171	0.045	1.122	
-0.187	0.105	0.885	
-0.115	0.064	0.997	
-0.106	0.040	0.975	
-0.084	0.051	0.972	
-0.063	0.007	0.959	
-0.059	-0.009	1.020	
-0.035	-0.034	1.042	
-0.058	0.002	1.019	
-0.020	-0.028	0.997	
-0.024	-0.045	1.008	
-0.041	-0.008	1.012	
-0.040	0.001	1.024	
-0.024	-0.032	1.018	
-0.048	-0.001	0.994	
-0.006	0.020	0.945	
-0.014	-0.008	1.021	
-0.035	0.027	0.973	
-0.045	-0.007	1.002	
-0.016	-0.007	0.996	
-0.046	0.016	1.004	
-0.064	0.031	1.014	
-0.031	0.011	0.989	
-0.046	0.013	0.994	
-0.002	0.040	0.980	
0.051	0.169	0.986	
0.119	0.259	0.969	
0.265	0.351	1.058	
0.355	0.034	0.911	
0.367	-0.032	0.890	
0.350	0.003	0.908	
0.354	0.000	0.936	
0.365	0.015	0.929	
0.371	0.015	0.922	
0.370	0.009	0.918
classification: small_shaking	
