X        Y        Z
0.335	0.224	0.907	
0.327	0.229	0.907	
0.308	0.230	0.921	
-0.009	0.308	0.788	
-0.422	0.127	0.899	
-0.691	0.093	0.425	
-0.630	-0.229	1.152	
-0.080	0.464	1.016	
-0.094	0.546	1.209	
-0.301	-0.037	0.997	
-0.637	0.120	0.251	
0.154	0.279	1.016	
-0.078	-0.361	1.266	
-0.709	0.114	0.294	
-0.461	0.488	0.011	
-0.251	0.047	1.288	
-0.497	0.217	1.269	
-0.300	0.394	-0.010	
-0.200	0.428	0.964	
-0.419	0.244	1.162	
-0.624	0.176	0.299	
-0.192	0.063	0.930	
0.041	0.088	1.190	
-0.679	0.171	0.527	
-0.808	0.066	0.026	
-0.450	-0.076	1.006	
0.058	0.092	1.396	
-0.514	-0.127	1.052	
-0.666	-0.015	0.159	
-1.014	-0.062	0.912	
-0.249	0.010	1.157	
-0.031	-0.094	1.299	
-0.465	0.288	0.354	
-0.658	0.180	0.846	
-0.271	-0.165	1.073	
-0.512	-0.037	0.812	
-0.445	0.234	0.582	
-0.285	0.120	1.356	
-0.028	-0.041	0.988	
-0.707	0.170	0.879	
-0.574	0.317	0.602	
-0.298	0.052	1.097	
-0.016	0.185	1.170	
-0.667	0.133	0.850	
-0.620	0.100	0.571	
-0.363	-0.014	1.053	
-0.079	0.093	1.117	
-0.411	0.045	0.886	
-0.344	0.088	0.813	
0.063	-0.088	1.063	
0.143	0.470	1.001	
0.223	0.063	0.986	
0.185	0.098	0.892	
0.231	0.128	0.968	
0.235	0.125	0.956	
classification: big_shaking
